j=0
0.000	0.000	31.840
0.000	0.000	63.680
-3.991	0.000	95.269
-11.909	0.000	126.109
-23.630	0.000	155.713
-38.969	0.000	183.614
-57.684	0.000	209.373
-79.480	0.000	232.584
-104.013	0.000	252.879
-130.897	0.000	269.940
-159.706	0.000	283.497
-189.988	0.000	293.336
-221.264	0.000	299.302
-253.041	0.000	301.301
-284.818	0.000	299.302
-316.094	0.000	293.336
-346.376	0.000	283.497
-375.186	0.000	269.940
-402.069	0.000	252.879
-426.602	0.000	232.584
-448.398	0.000	209.373
-467.113	0.000	183.614
-482.452	0.000	155.713
-494.173	0.000	126.109
-502.092	0.000	95.269
-506.082	0.000	63.680
-506.082	0.000	31.840
-502.092	0.000	0.251
-494.173	0.000	-30.589
-482.452	0.000	-60.193
-467.113	0.000	-88.094
-448.398	0.000	-113.853
-426.602	0.000	-137.064
-402.069	0.000	-157.359
-375.186	0.000	-174.420
-346.376	0.000	-187.977
-316.094	0.000	-197.816
-284.818	0.000	-203.782
-253.041	0.000	-205.781
-221.264	0.000	-203.782
-189.988	0.000	-197.816
-159.706	0.000	-187.977
-130.897	0.000	-174.420
-104.013	0.000	-157.359
-79.480	0.000	-137.064
-57.684	0.000	-113.853
-38.969	0.000	-88.094
-23.630	0.000	-60.193
-11.909	0.000	-30.589
-3.991	0.000	0.251
0.000	7.960	31.840
0.000	7.960	63.680
-3.991	7.960	95.269
-11.909	7.960	126.109
-23.630	7.960	155.713
-38.969	7.960	183.614
-57.684	7.960	209.373
-79.480	7.960	232.584
-104.013	7.960	252.879
-130.897	7.960	269.940
-159.706	7.960	283.497
-189.988	7.960	293.336
-221.264	7.960	299.302
-253.041	7.960	301.301
-284.818	7.960	299.302
-316.094	7.960	293.336
-346.376	7.960	283.497
-375.186	7.960	269.940
-402.069	7.960	252.879
-426.602	7.960	232.584
-448.398	7.960	209.373
-467.113	7.960	183.614
-482.452	7.960	155.713
-494.173	7.960	126.109
-502.092	7.960	95.269
-506.082	7.960	63.680
-506.082	7.960	31.840
-502.092	7.960	0.251
-494.173	7.960	-30.589
-482.452	7.960	-60.193
-467.113	7.960	-88.094
-448.398	7.960	-113.853
-426.602	7.960	-137.064
-402.069	7.960	-157.359
-375.186	7.960	-174.420
-346.376	7.960	-187.977
-316.094	7.960	-197.816
-284.818	7.960	-203.782
-253.041	7.960	-205.781
-221.264	7.960	-203.782
-189.988	7.960	-197.816
-159.706	7.960	-187.977
-130.897	7.960	-174.420
-104.013	7.960	-157.359
-79.480	7.960	-137.064
-57.684	7.960	-113.853
-38.969	7.960	-88.094
-23.630	7.960	-60.193
-11.909	7.960	-30.589
